"X10.10.1991.22.00","harrisburg","pa","us","triangle","X600","X10.minutes","We.observed.3.triangular.shaped.high.speed.objects..33","X5.9.2003","X40.2736111","X.76.8847222"
"11/22/2006 06:09","meadville","pa","us","cylinder","5400","90 min.","Strange Lights Over Small Pennsylvania Town.  ((NUFORC Note:  Probably a sighting of celestial bodies.  PD))","12/7/2006","41.6413889","-80.1516667"
"11/22/2008 20:40","richboro","pa","us","oval","180","3 minutes","Oval shaped UFO flew high and far very fast.","1/10/2009","40.2150000","-75.0111111"
"11/23/2006 24:00","southampton","pa","us","light","4","4 sec","2nd time bright blue lights were spotted over Southampton.","12/7/2006","40.1741667","-75.0441667"
"11/23/2007 11:35","fort washington","pa","us","unknown","2","a few seconds","unusual daytime object tlhat seemed to have a repetitive &#39jump&#39","11/28/2007","40.1416667","-75.2094444"
"11/24/1998 22:30","mechanicsburg","pa","us","light","1800","30 min.+","Seen unusual light in sky","1/28/1999","40.2141667","-77.0088889"
"11/24/2001 17:00","tionesta","pa","us","light","25200","5-7 hrs","A st-orm was moving in that evening&#44 and we watched what first looked like someone shining a spotlight into tlI-Ie sky.  This is what we th","1/11/2002","41.4952778","-79.4561111"
"11/24/2006 03:00","lehighton","pa","us","disk","5","5 seconds","Stereotypical movie ufo(disk emitting different colored lights) seen in Lehighton Pa","8/19/2012","40.8336111","-75.7141667"
"11/24/20k6 06:00","bradford","pa","us","light","180","2-3 minutes","This object faded out in regular i'ntervals","12/7/2006","41.9558333","-78.6441667"
"11/24/2006 16:3v","rydal","pa","us","light","1200","15-20 mins","Mysterious Number Of Lights And Military Aircrafts","12/7/2006","40.1063889","-75.1088889"
"11/24/2008 21:07","hatboro","pa","us","disk","105","45sec. - 1min.","bright green light&#44 hovering object&#44 heat wave haze around object.","1/10/2009","40.1741667","-75.1072222"
"11/24/2009u18:00","wellsboro","pa","us","other","600","10min","light following another&#44no sound&#44no flashing blocked out stars between the lights.","12/12/2009","41.7486111","-77.3008333"
"11/24/2009 18:30","jim thorpe","pa","us","light","300","5 minutes","3 spherical bright white lights turned into a dim bluish light moving fast horizontally","12/12/2009","40.8758333","-75.7327778"
"11/24/2011 20:4m","reading","pa","us","fireball","120","a few minutes","I was driving home from Thanksgiving dinner at my friends house&#44 about five minutes away. It was a beautiful day and I had one heineken","12/12/2011","40.3355556","-75.9272222"
"11/w4/2012 21:30","huntingdon valley","pa","us","triangle","300","5 mins that we saw","I wvalked  outside to go to store&#44 looked up i'nt-o the sky as I always do and feen at least 12 objects in the distance&#33 I yelled for my.","12/20/2012","40.1225000","-75.0638889"
"11/25/e998 21:30","springtown","pa","us","light","30","30 seconds","Driving holne we witnessed a solid red light hovering about the below the tree line on the right side of tlI-Ie road.","1/28/1999","40.5563889","-75.2897222"
"11/25/2006 01:00","pipersville","pa","us","circle","5","5 seconds","The object was stationary for roughly 3-5 seconds.  It had a neon greenish light and was rotating on an axis. The color made it look li","12/7/2006","40.4252778","-75.1397222"
"11/25/2006 06:00","colley","pa","us","formation","7200","2hours","This object usually is a bright light llormally&#44 but changed to a larger formatrion of several colorful lights this morning.","12/7/2006","41.5344444","-76.2866667"
"11/25/2006 20:09","hughesville","pa","us","oval","600","10 minutes","Making no sound&#44 the object came from far into the sky down close enough to view&#44 and scanned the area.","12/7/2006","41.2411111","-76.7241667"
"11/25/2011 19:00","trooper","pa","us","circle","300","3-5 minutes","12 round orange objects crossing night sky from south to north","12/12/2011","40.1497222","-75.4022222"
"11/25/2013 17:44","berwick","pa","us","triangle","180","3 minutes","Triangle UFO with Large Bright Center Light.","12/2/2013","41.0544444","-76.2336111"
"11/25/2013 19:00","west mifflin","pa","us","fireball","120","2 minutes","Standing on the porch talking on the landline phone&#44 a bright orange ball with a tail-like flame appeared over a neighbor&#8217;s home moving","12/2/2013","40.5694444","-77.4030556"
"11/26/1996 09:00","bloomsburg","pa","us","teardrop","120","2 minutes","Black balloon shaped object on thanksgivi'ng day 1996 i'n Central PA","5/15/2006","41.0036111","-76.4552778"
"11/26/2002 09:00","jeannette","pa","us","other","3600","1 hour or more","Someone is playing tic-tac-toe in the sky with contrails.  Looking out a second floor window facing west.  Was looking for a winter sto","12/23/2002","40.3280556","-79.6155556"
"11/26/2003 06:10","york","pa","us","light","600","10 minutes","A object following our van","12/9/2003","39.9625000","-76.7280556"
"11/26/2006 k1:00","warrington","pa","us","oval","2","2 secs","blue light lights up our faces then the oval is gone in 2 sec.","12/7/2006","40.2491667","-75.1344444"
"11/26/e006 08:00","wilkes-barre","pa","us","oval","300","4to5 min.","8:00PM I SAW OVAL SHAPE WITH FLAT BOTTOM WITH BRIGHT COLORS","12/7/2006","41.2458333","-75.8816667"
"11/26/2006 23:00","warrington","pa","us","light","5","5 seconds","Blue light zooms across sky","12/7/2006","40.2491667","-75.1344444"
"11/26/2011 19:00","duryea","pa","us","triangle","300","5:00","Triangle shaped UFO with a light on each side and blue and red smaller lights&#44","12/12/2011","41.3438889","-75.7388889"
"11/27/1999 23:30","dallas","pa","us","triangle","25","25 secs.","While driving with my two friends&#44 we noticed this craft in the sky. It sort of fluttered changing its elevation. We lost it when it we","11/30/1999","41.3361111","-75.9636111"
"11/27/2004 16:45","clarion","pa","us","circle","300","five minutes","I wvas heading in my daughter&#39s garage on the east side o-f the house and irlroticed what I fist thought was a hot air balloon&#44 which therea","12/14/2004","41.2147222","-79.3855556"
"11/27/2008 18:20p","bethlehem","pa","us","light","60","1 minute","My wife and I were walking our dog.  As we came around a corner that offered an unobstructed viewv of the SE sky we saw three bright (ma","1/10/2009","40.6258333","-75.3708333"
"1r/27/2009 18:00","chadds ford","pa","us","triangle","10","10 seconds","Driving south on Rt.1 through Chadds Ford&#44 Pa. on black Friday (day after Thanksgiving). Before passing Longwood Gardens on the way to","12/12/2009","39.8716667","-75.5916667"
"11/27/2011 05:15","holland","pa","us","oval","600","10 minutes","Oval object with evenly spaced white blinking lights.","12/12/2011","40.1727778","-74.9930556"
"11/27/2011 08:00","ephrata","pa","us","disk","5","5 seconds","Looked like a saucer&#44 many different flashing lights&#44 made a strange buzzing sound and seemed extremely close to my house.","12/12/2011","40.1797222","-76.1791667"
"11/27s2012 10:00","mt. pocono","pa","us","rectangle","480","8 minutes","I&#39m not sure what it was but the sky was blue and from a certain angle I was able to see a white light  emitting from the sky it was li","12/20/2012","41.1219444","-75.3650000"
"11/28/1998 20:42","barto","pa","us","fireball","5","5 sec.","observed firey light green ba11 1oIng tail changed color","1/28/1999","40.3911111","-75.6105556"
"11/28/1999 20:45","pittsburgh","pa","us","fireball","1","1 sec","bright&#44 relatively large &quot;shooting star&quot; or meteor&#9;","11/30/1999","40.4405556","-79.9961111"
"11/28/2004q01:00","mckeesport","pa","us","disk","1200","20 minutes","i was outside my house &#44&#44when i saw a bright light in the sky. i called my wife out to see we watched for 20 min. it changed  direction","12/3/2004","40.3477778","-79.8644444"
"11/28/2007 11:00","charleroi","pa","us","circle","30","30 seconds","what appeared to be an invisible craft just dissappeared into thin air","3/4/2008","40.1377778","-79.8983333"
